frame.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
5.087773000,143,1500,90.130.70.73,80,10.0.0.2,55160,1448,76745,138
5.119711000,144,52,10.0.0.2,55160,90.130.70.73,80,0,138,81089
5.122879000,145,1500,90.130.70.73,80,10.0.0.2,55160,1448,78193,138
5.151913000,146,1500,90.130.70.73,80,10.0.0.2,55160,1448,79641,138
5.182840000,147,52,10.0.0.2,55160,90.130.70.73,80,0,138,81089
5.185722000,148,1500,90.130.70.73,80,10.0.0.2,55160,1448,81089,138
5.214856000,149,1500,90.130.70.73,80,10.0.0.2,55160,1448,82537,138
5.244012000,150,52,10.0.0.2,55160,90.130.70.73,80,0,138,81089
5.297450000,151,1500,90.130.70.73,80,10.0.0.2,55160,1448,83985,138
5.306612000,152,52,10.0.0.2,55160,90.130.70.73,80,0,138,81089
5.317990000,153,1500,90.130.70.73,80,10.0.0.2,55160,1448,85433,138
5.341308000,154,1500,90.130.70.73,80,10.0.0.2,55160,1448,86881,138
5.342560000,155,1500,90.130.70.73,80,10.0.0.2,55160,1448,88329,138
5.369565000,156,52,10.0.0.2,55160,90.130.70.73,80,0,138,81089
5.426064000,157,1500,90.130.70.73,80,10.0.0.2,55160,1448,89777,138
5.426112000,158,1500,90.130.70.73,80,10.0.0.2,55160,1448,91225,138
5.430893000,159,52,10.0.0.2,55160,90.130.70.73,80,0,138,81089
5.493553000,160,52,10.0.0.2,55160,90.130.70.73,80,0,138,81089
5.510072000,161,1500,90.130.70.73,80,10.0.0.2,55160,1448,92673,138
5.510104000,162,1500,90.130.70.73,80,10.0.0.2,55160,1448,94121,138
5.556853000,163,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
5.619753000,164,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
5.636975000,165,1500,90.130.70.73,80,10.0.0.2,55160,1448,97017,138
5.637083000,166,1500,90.130.70.73,80,10.0.0.2,55160,1448,95569,138
5.637093000,167,1500,90.130.70.73,80,10.0.0.2,55160,1448,98465,138
5.637101000,168,1500,90.130.70.73,80,10.0.0.2,55160,1448,99913,138
5.651454000,169,1500,90.130.70.73,80,10.0.0.2,55160,1448,101361,138
5.682359000,170,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
5.698196000,171,1500,90.130.70.73,80,10.0.0.2,55160,1448,102809,138
5.698263000,172,1500,90.130.70.73,80,10.0.0.2,55160,1448,104257,138
5.718450000,173,1500,90.130.70.73,80,10.0.0.2,55160,1448,105705,138
5.744425000,174,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
5.764848000,175,1500,90.130.70.73,80,10.0.0.2,55160,1448,107153,138
5.764936000,176,1500,90.130.70.73,80,10.0.0.2,55160,1448,108601,138
5.805929000,177,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
5.869444000,178,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
5.869501000,179,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
5.930875000,180,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
5.994511000,181,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
6.055814000,182,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
6.119146000,183,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
6.196357000,184,1500,90.130.70.73,80,10.0.0.2,55160,1448,110049,138
6.309661000,185,1500,90.130.70.73,80,10.0.0.2,55160,1448,111497,138
6.309743000,186,1500,90.130.70.73,80,10.0.0.2,55160,1448,112945,138
6.369263000,187,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
6.405162000,188,1500,90.130.70.73,80,10.0.0.2,55160,1448,114393,138
6.494251000,189,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
6.556436000,190,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
6.619423000,191,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
6.641775000,192,1500,90.130.70.73,80,10.0.0.2,55160,1448,115841,138
6.741902000,193,1500,90.130.70.73,80,10.0.0.2,55160,1448,117289,138
6.806368000,194,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
6.850433000,195,1500,90.130.70.73,80,10.0.0.2,55160,1448,118737,138
6.921117000,196,1500,90.130.70.73,80,10.0.0.2,55160,1448,120185,138
6.930057000,197,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
6.993456000,198,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
7.054858000,199,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
7.079152000,200,1500,90.130.70.73,80,10.0.0.2,55160,1448,121633,138
7.242954000,201,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
7.290438000,202,1500,90.130.70.73,80,10.0.0.2,55160,1448,123081,138
7.290515000,203,1500,90.130.70.73,80,10.0.0.2,55160,1448,124529,138
7.431105000,204,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
7.450554000,205,1500,90.130.70.73,80,10.0.0.2,55160,1448,125977,138
7.492851000,206,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
7.575864000,207,1500,90.130.70.73,80,10.0.0.2,55160,1448,127425,138
7.618447000,208,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
7.701005000,209,1500,90.130.70.73,80,10.0.0.2,55160,1448,128873,138
7.742979000,210,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
7.803874000,211,1500,90.130.70.73,80,10.0.0.2,55160,1448,130321,138
7.853928000,212,1500,90.130.70.73,80,10.0.0.2,55160,1448,131769,138
7.868492000,213,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
7.991171000,214,1500,90.130.70.73,80,10.0.0.2,55160,1448,133217,138
7.993601000,215,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
8.055207000,216,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
8.104022000,217,1500,90.130.70.73,80,10.0.0.2,55160,1448,134665,138
8.179672000,218,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
8.228396000,219,1500,90.130.70.73,80,10.0.0.2,55160,1448,136113,138
8.243160000,220,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
8.289454000,221,1500,90.130.70.73,80,10.0.0.2,55160,1448,137561,138
8.368273000,222,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
8.414468000,223,1500,90.130.70.73,80,10.0.0.2,55160,1448,139009,138
8.429967000,224,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
8.482471000,225,1500,90.130.70.73,80,10.0.0.2,55160,1448,140457,138
8.554989000,226,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
8.613810000,227,1500,90.130.70.73,80,10.0.0.2,55160,1448,141905,138
8.616655000,228,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
8.665199000,229,1500,90.130.70.73,80,10.0.0.2,55160,1448,143353,138
8.741692000,230,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
8.790814000,231,1500,90.130.70.73,80,10.0.0.2,55160,1448,144801,138
8.804934000,232,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
8.851009000,233,1500,90.130.70.73,80,10.0.0.2,55160,1448,146249,138
8.930467000,234,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
8.984279000,235,1500,90.130.70.73,80,10.0.0.2,55160,1448,147697,138
8.991707000,236,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
9.045886000,237,1500,90.130.70.73,80,10.0.0.2,55160,1448,149145,138
9.068214000,238,1500,90.130.70.73,80,10.0.0.2,55160,1448,82537,138
9.116870000,239,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
9.179028000,240,52,10.0.0.2,55160,90.130.70.73,80,0,138,82537
9.241717000,241,52,10.0.0.2,55160,90.130.70.73,80,0,138,86881
9.488284000,242,1500,90.130.70.73,80,10.0.0.2,55160,1448,86881,138
9.488397000,243,1500,90.130.70.73,80,10.0.0.2,55160,1448,88329,138
9.506351000,244,1500,90.130.70.73,80,10.0.0.2,55160,1448,91225,138
9.506405000,245,1500,90.130.70.73,80,10.0.0.2,55160,1448,89777,138
9.617325000,246,52,10.0.0.2,55160,90.130.70.73,80,0,138,88329
9.617435000,247,52,10.0.0.2,55160,90.130.70.73,80,0,138,91225
9.678779000,248,52,10.0.0.2,55160,90.130.70.73,80,0,138,98465
9.741585000,249,52,10.0.0.2,55160,90.130.70.73,80,0,138,98465
9.881879000,250,1500,90.130.70.73,80,10.0.0.2,55160,1448,94121,138
9.881987000,251,1500,90.130.70.73,80,10.0.0.2,55160,1448,92673,138
9.888350000,252,1500,90.130.70.73,80,10.0.0.2,55160,1448,95569,138
9.888431000,253,1500,90.130.70.73,80,10.0.0.2,55160,1448,97017,138
9.907000000,254,1500,90.130.70.73,80,10.0.0.2,55160,1448,99913,138
9.907059000,255,1500,90.130.70.73,80,10.0.0.2,55160,1448,98465,138
9.917235000,256,1500,90.130.70.73,80,10.0.0.2,55160,1448,102809,138
9.917288000,257,1500,90.130.70.73,80,10.0.0.2,55160,1448,101361,138
9.917294000,258,1500,90.130.70.73,80,10.0.0.2,55160,1448,104257,138
9.917297000,259,1500,90.130.70.73,80,10.0.0.2,55160,1448,105705,138
9.918543000,260,1500,90.130.70.73,80,10.0.0.2,55160,1448,107153,138
9.918597000,261,1500,90.130.70.73,80,10.0.0.2,55160,1448,108601,138
9.919795000,262,1500,90.130.70.73,80,10.0.0.2,55160,1448,110049,138
9.919826000,263,1500,90.130.70.73,80,10.0.0.2,55160,1448,111497,138
10.053895000,264,52,10.0.0.2,55160,90.130.70.73,80,0,138,98465
10.116678000,265,52,10.0.0.2,55160,90.130.70.73,80,0,138,98465
10.179315000,266,52,10.0.0.2,55160,90.130.70.73,80,0,138,98465
10.241722000,267,52,10.0.0.2,55160,90.130.70.73,80,0,138,98465
12.861018000,268,1500,90.130.70.73,80,10.0.0.2,55160,1448,98465,138
12.990562000,269,52,10.0.0.2,55160,90.130.70.73,80,0,138,99913
13.230666000,270,1500,90.130.70.73,80,10.0.0.2,55160,1448,99913,138
13.230716000,271,1500,90.130.70.73,80,10.0.0.2,55160,1448,101361,138
13.365761000,272,52,10.0.0.2,55160,90.130.70.73,80,0,138,101361
13.365796000,273,52,10.0.0.2,55160,90.130.70.73,80,0,138,104257
13.630770000,274,1500,90.130.70.73,80,10.0.0.2,55160,1448,102809,138
13.630803000,275,1500,90.130.70.73,80,10.0.0.2,55160,1448,104257,138
13.630806000,276,1500,90.130.70.73,80,10.0.0.2,55160,1448,105705,138
13.630808000,277,1500,90.130.70.73,80,10.0.0.2,55160,1448,107153,138
13.630810000,278,1500,90.130.70.73,80,10.0.0.2,55160,1448,108601,138
13.631932000,279,1500,90.130.70.73,80,10.0.0.2,55160,1448,110049,138
13.802421000,280,52,10.0.0.2,55160,90.130.70.73,80,0,138,104257
13.865581000,281,52,10.0.0.2,55160,90.130.70.73,80,0,138,105705
13.927572000,282,52,10.0.0.2,55160,90.130.70.73,80,0,138,150593
13.990292000,283,52,10.0.0.2,55160,90.130.70.73,80,0,138,150593
14.226294000,284,1500,90.130.70.73,80,10.0.0.2,55160,1448,112945,138
14.226403000,285,1500,90.130.70.73,80,10.0.0.2,55160,1448,111497,138
14.226419000,286,1500,90.130.70.73,80,10.0.0.2,55160,1448,150593,138
14.343484000,287,1500,90.130.70.73,80,10.0.0.2,55160,1448,152041,138
14.343548000,288,1500,90.130.70.73,80,10.0.0.2,55160,1448,153489,138
14.364811000,289,52,10.0.0.2,55160,90.130.70.73,80,0,138,150593
14.380410000,290,1500,90.130.70.73,80,10.0.0.2,55160,1448,154937,138
14.380503000,291,1500,90.130.70.73,80,10.0.0.2,55160,1448,156385,138
14.426687000,292,52,10.0.0.2,55160,90.130.70.73,80,0,138,150593
14.458578000,293,1500,90.130.70.73,80,10.0.0.2,55160,1448,157833,138
14.489493000,294,52,10.0.0.2,55160,90.130.70.73,80,0,138,152041
14.552402000,295,52,10.0.0.2,55160,90.130.70.73,80,0,138,153489
14.614049000,296,52,10.0.0.2,55160,90.130.70.73,80,0,138,154937
14.677433000,297,52,10.0.0.2,55160,90.130.70.73,80,0,138,156385
14.739346000,298,52,10.0.0.2,55160,90.130.70.73,80,0,138,157833
14.774870000,299,1500,90.130.70.73,80,10.0.0.2,55160,1448,159281,138
14.774980000,300,1500,90.130.70.73,80,10.0.0.2,55160,1448,160729,138
14.802132000,301,52,10.0.0.2,55160,90.130.70.73,80,0,138,159281
14.820282000,302,1500,90.130.70.73,80,10.0.0.2,55160,1448,162177,138
14.820410000,303,1500,90.130.70.73,80,10.0.0.2,55160,1448,163625,138
14.927165000,304,52,10.0.0.2,55160,90.130.70.73,80,0,138,160729
14.942603000,305,1500,90.130.70.73,80,10.0.0.2,55160,1448,165073,138
14.942666000,306,1500,90.130.70.73,80,10.0.0.2,55160,1448,166521,138
14.955239000,307,1500,90.130.70.73,80,10.0.0.2,55160,1448,167969,138
14.955305000,308,1500,90.130.70.73,80,10.0.0.2,55160,1448,169417,138
14.989136000,309,52,10.0.0.2,55160,90.130.70.73,80,0,138,162177
15.052045000,310,52,10.0.0.2,55160,90.130.70.73,80,0,138,163625
15.075782000,311,1500,90.130.70.73,80,10.0.0.2,55160,1448,170865,138
15.075842000,312,1500,90.130.70.73,80,10.0.0.2,55160,1448,172313,138
15.114217000,313,52,10.0.0.2,55160,90.130.70.73,80,0,138,165073
15.176602000,314,52,10.0.0.2,55160,90.130.70.73,80,0,138,166521
15.196024000,315,1500,90.130.70.73,80,10.0.0.2,55160,1448,173761,138
15.196088000,316,1500,90.130.70.73,80,10.0.0.2,55160,1448,175209,138
15.239757000,317,52,10.0.0.2,55160,90.130.70.73,80,0,138,167969
15.239784000,318,52,10.0.0.2,55160,90.130.70.73,80,0,138,169417
15.302072000,319,52,10.0.0.2,55160,90.130.70.73,80,0,138,169417
15.316529000,320,1500,90.130.70.73,80,10.0.0.2,55160,1448,176657,138
15.317748000,321,1500,90.130.70.73,80,10.0.0.2,55160,1448,178105,138
15.364082000,322,52,10.0.0.2,55160,90.130.70.73,80,0,138,169417
15.425860000,323,52,10.0.0.2,55160,90.130.70.73,80,0,138,169417
15.453075000,324,1500,90.130.70.73,80,10.0.0.2,55160,1448,179553,138
15.453125000,325,1500,90.130.70.73,80,10.0.0.2,55160,1448,181001,138
15.489058000,326,52,10.0.0.2,55160,90.130.70.73,80,0,138,169417
15.508860000,327,1500,90.130.70.73,80,10.0.0.2,55160,1448,182449,138
15.508891000,328,1500,90.130.70.73,80,10.0.0.2,55160,1448,183897,138
15.550819000,329,52,10.0.0.2,55160,90.130.70.73,80,0,138,169417
15.568528000,330,1500,90.130.70.73,80,10.0.0.2,55160,1448,185345,138
15.614383000,331,52,10.0.0.2,55160,90.130.70.73,80,0,138,169417
15.630821000,332,1500,90.130.70.73,80,10.0.0.2,55160,1448,186793,138
15.675913000,333,52,10.0.0.2,55160,90.130.70.73,80,0,138,169417
15.691909000,334,1500,90.130.70.73,80,10.0.0.2,55160,1448,169417,138
15.739016000,335,52,10.0.0.2,55160,90.130.70.73,80,0,138,169417
15.754805000,336,1500,90.130.70.73,80,10.0.0.2,55160,1448,188241,138
