frame.time_relative,frame.time_delta,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
27.823416000,0.205109000,1448,162177,143,
27.849598000,0.026182000,1448,163625,143,
27.853423000,0.003825000,0,143,163625,0.030007000
27.877852000,0.024429000,0,143,165073,0.028254000
27.888813000,0.010961000,1448,165073,143,
27.920637000,0.031824000,0,143,166521,0.031824000
28.168302000,0.247665000,1448,166521,143,
28.168350000,0.000048000,1448,167969,143,
28.192719000,0.024369000,1448,169417,143,
28.192806000,0.000087000,1448,170865,143,
28.197783000,0.004977000,0,143,167969,0.029481000
28.222040000,0.024257000,0,143,167969,
28.518117000,0.296077000,1448,172313,143,
28.518194000,0.000077000,1448,173761,143,
28.546978000,0.028784000,0,143,167969,
28.803164000,0.256186000,1448,175209,143,
28.829352000,0.026188000,0,143,167969,
29.079775000,0.250423000,1448,167969,143,
29.106399000,0.026624000,0,143,170865,0.913680000
29.907099000,0.800700000,1448,170865,143,
29.937447000,0.030348000,0,143,173761,1.419330000
30.183611000,0.246164000,1448,173761,143,
30.206693000,0.023082000,1448,175209,143,
30.208723000,0.002030000,0,143,176657,1.405559000
30.232717000,0.023994000,0,143,176657,
30.262800000,0.005141000,1448,176657,143,
30.292182000,0.029382000,0,143,178105,0.029382000
30.454153000,0.161971000,1448,178105,143,
30.479641000,0.025488000,0,143,179553,0.025488000
30.500515000,0.020874000,1448,179553,143,
30.521126000,0.020611000,1448,181001,143,
30.527406000,0.006280000,0,143,181001,0.026891000
30.551287000,0.023881000,0,143,182449,0.030161000
30.726419000,0.175132000,1448,182449,143,
30.726482000,0.000063000,1448,183897,143,
30.756822000,0.030340000,0,143,183897,0.030403000
30.813292000,0.056470000,1448,185345,143,
30.813380000,0.000088000,1448,186793,143,
30.840500000,0.027120000,0,143,183897,
31.006867000,0.166367000,1448,188241,143,
31.033569000,0.026702000,0,143,183897,
31.088610000,0.055041000,1448,189689,143,
31.117180000,0.028570000,0,143,183897,
31.278494000,0.161314000,1448,191137,143,
31.304992000,0.026498000,0,143,183897,
31.389776000,0.084784000,1448,183897,143,
31.419927000,0.030151000,0,143,186793,0.606635000
31.681834000,0.261907000,1448,186793,143,
31.694772000,0.012938000,1448,192585,143,
31.708551000,0.013779000,0,143,192585,0.430057000
31.720429000,0.011878000,0,143,194033,0.025657000
31.955010000,0.234581000,1448,194033,143,
31.985445000,0.030435000,0,143,195481,0.030435000
31.993740000,0.008295000,1448,195481,143,
31.993819000,0.000079000,1448,196929,143,
32.021476000,0.027657000,0,143,196929,0.027736000
32.244041000,0.222565000,1448,198377,143,
32.244117000,0.000076000,1448,199825,143,
32.275043000,0.030926000,0,143,196929,
32.524284000,0.249241000,1448,201273,143,
32.524393000,0.000109000,1448,202721,143,
32.551322000,0.026929000,0,143,196929,
32.766595000,0.215273000,1448,196929,143,
32.792936000,0.026341000,0,143,199825,0.548895000
33.039946000,0.247010000,1448,204169,143,
33.069364000,0.029418000,0,143,199825,
33.534994000,0.465630000,1448,199825,143,
33.563713000,0.028719000,0,143,202721,1.039429000
33.853384000,0.289671000,1448,202721,143,
33.868991000,0.015607000,1448,204169,143,
33.882919000,0.013928000,0,143,205617,0.842973000
33.895233000,0.012314000,0,143,205617,
33.915621000,0.020388000,1448,205617,143,
33.943889000,0.028268000,0,143,207065,0.028268000
34.211965000,0.268076000,1448,207065,143,
34.212058000,0.000093000,1448,208513,143,
34.238933000,0.026875000,0,143,208513,0.026968000
34.272320000,0.033387000,1448,209961,143,
34.298718000,0.026398000,0,143,208513,
34.512465000,0.213747000,1448,211409,143,
34.522969000,0.010504000,1448,212857,143,
34.539417000,0.016448000,0,143,208513,
34.551687000,0.012270000,0,143,208513,
34.621333000,0.069646000,1448,214305,143,
34.648494000,0.027161000,0,143,208513,
34.914892000,0.266398000,1448,215753,143,
34.916110000,0.001218000,1448,208513,143,
34.943327000,0.027217000,0,143,208513,
35.222651000,0.279324000,1448,217201,143,
35.251440000,0.028789000,0,143,208513,
35.434303000,0.182863000,1448,208513,143,
35.462015000,0.027712000,0,143,218649,0.239364000
35.734091000,0.272076000,1448,218649,143,
35.742286000,0.008195000,1448,220097,143,
35.763027000,0.020741000,0,143,220097,0.028936000
35.768236000,0.005209000,0,143,221545,0.025950000
35.798664000,0.030428000,1448,221545,143,
35.828287000,0.029623000,0,143,222993,0.029623000
36.022687000,0.194400000,1448,222993,143,
36.028898000,0.006211000,1448,224441,143,
36.051806000,0.022908000,0,143,224441,0.029119000
36.057209000,0.005403000,0,143,225889,0.028311000
36.107806000,0.050597000,1448,225889,143,
36.107888000,0.000082000,1448,227337,143,
36.136118000,0.028230000,0,143,227337,0.028312000
36.304111000,0.167993000,1448,228785,143,
36.312325000,0.008214000,1448,230233,143,
36.334759000,0.022434000,0,143,227337,
36.340859000,0.006100000,0,143,227337,
36.382864000,0.042005000,1448,231681,143,
36.391040000,0.008176000,1448,233129,143,
36.414010000,0.022970000,0,143,227337,
36.419809000,0.005799000,0,143,227337,
36.582180000,0.162371000,1448,234577,143,
36.597941000,0.015761000,1448,236025,143,
36.611587000,0.013646000,0,143,227337,
36.623295000,0.011708000,0,143,227337,
36.663094000,0.039799000,1448,227337,143,
36.690073000,0.026979000,0,143,237473,0.092132000
36.857124000,0.167051000,1448,237473,143,
36.869928000,0.012804000,1448,238921,143,
36.882916000,0.012988000,0,143,238921,0.025792000
36.901940000,0.019024000,0,143,240369,0.032012000
36.934258000,0.032318000,1448,240369,143,
37.003332000,0.069074000,0,143,241817,0.069074000
37.143700000,0.140368000,1448,241817,143,
37.143737000,0.000037000,1448,243265,143,
37.159346000,0.015609000,1448,244713,143,
37.174396000,0.015050000,1448,246161,143,
37.184498000,0.010102000,0,143,243265,0.040798000
37.202441000,0.017943000,0,143,243265,
37.440281000,0.237840000,1448,247609,143,
37.440354000,0.000073000,1448,249057,143,
37.460913000,0.020559000,1448,250505,143,
37.467652000,0.006739000,0,143,243265,
37.491160000,0.023508000,0,143,243265,
37.712177000,0.221017000,1448,251953,143,
37.737741000,0.025564000,1448,243265,143,
37.738468000,0.000727000,0,143,243265,
37.762175000,0.023707000,0,143,249057,0.321894000
38.010179000,0.248004000,1448,249057,143,
38.020677000,0.010498000,1448,253401,143,
38.039599000,0.018922000,0,143,253401,0.327422000
38.111180000,0.071581000,0,143,254849,0.090503000
38.284350000,0.173170000,1448,254849,143,
38.311303000,0.026953000,1448,256297,143,
38.340807000,0.029504000,0,143,257745,0.029504000
38.363267000,0.022460000,1448,257745,143,
38.366458000,0.003191000,1448,259193,143,
38.395569000,0.029111000,0,143,260641,0.029111000
38.602033000,0.206464000,1448,260641,143,
38.602066000,0.000033000,1448,262089,143,
38.648548000,0.046482000,1448,263537,143,
38.648590000,0.000042000,1448,264985,143,
38.678407000,0.029817000,0,143,262089,0.076374000
38.682270000,0.003863000,1448,266433,143,
38.708048000,0.025778000,0,143,262089,
38.959691000,0.251643000,1448,267881,143,
38.959737000,0.000046000,1448,269329,143,
38.986065000,0.026328000,0,143,262089,
39.233199000,0.247134000,1448,270777,143,
39.263265000,0.030066000,0,143,262089,
39.429144000,0.165879000,1448,262089,143,
39.455275000,0.026131000,0,143,264985,0.806727000
40.202870000,0.747595000,1448,264985,143,
40.232761000,0.029891000,0,143,269329,1.273070000
40.478777000,0.246016000,1448,269329,143,
40.494537000,0.015760000,1448,270777,143,
40.509539000,0.015002000,0,143,272225,1.276340000
40.521978000,0.012439000,0,143,272225,
40.533593000,0.011615000,1448,272225,143,
40.544729000,0.011136000,1448,273673,143,
40.563772000,0.019043000,0,143,273673,0.030179000
40.570143000,0.006371000,0,143,275121,0.025414000
40.786741000,0.216598000,1448,275121,143,
40.786801000,0.000060000,1448,276569,143,
40.802809000,0.016008000,1448,278017,143,
40.816913000,0.014104000,0,143,276569,0.030172000
40.828343000,0.011430000,0,143,276569,
40.837182000,0.008839000,1448,279465,143,
40.837266000,0.000084000,1448,280913,143,
40.870884000,0.033618000,0,143,276569,
41.105927000,0.235043000,1448,282361,143,
41.105955000,0.000028000,1448,283809,143,
41.136028000,0.030073000,0,143,276569,
