frame.time_relative,frame.time_delta,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
16.703717000,0.082039000,1448,365094,132,
16.703954000,0.000237000,1448,366542,132,
16.746878000,0.042924000,0,132,356406,0.542907000
16.828246000,0.081368000,1448,367990,132,
16.828314000,0.000068000,1448,369438,132,
16.872119000,0.043805000,0,132,359302,0.542046000
16.953313000,0.081194000,1448,370886,132,
16.953380000,0.000067000,1448,372334,132,
16.996652000,0.043272000,0,132,362198,0.541934000
17.078523000,0.081871000,1448,373782,132,
17.078611000,0.000088000,1448,375230,132,
17.121574000,0.042963000,0,132,365094,0.542904000
17.203161000,0.081587000,1448,376678,132,
17.203245000,0.000084000,1448,378126,132,
17.247080000,0.043835000,0,132,367990,0.543126000
17.328090000,0.081010000,1448,379574,132,
17.328164000,0.000074000,1448,381022,132,
17.371694000,0.043530000,0,132,370886,0.543380000
17.453728000,0.082034000,1448,382470,132,
17.453781000,0.000053000,1448,383918,132,
17.453787000,0.000006000,1448,385366,132,
17.453790000,0.000003000,1448,386814,132,
17.497434000,0.043644000,0,132,373782,0.544054000
17.578358000,0.080924000,1448,388262,132,
17.578450000,0.000092000,1448,389710,132,
17.622235000,0.043785000,0,132,376678,0.543624000
17.704229000,0.081994000,1448,391158,132,
17.704309000,0.000080000,1448,392606,132,
17.747303000,0.042994000,0,132,379574,0.544058000
17.828907000,0.081604000,1448,394054,132,
17.828978000,0.000071000,1448,395502,132,
17.871797000,0.042819000,0,132,382470,0.543633000
17.953726000,0.081929000,1448,396950,132,
17.953839000,0.000113000,1448,398398,132,
17.997552000,0.043713000,0,132,385366,0.543771000
18.078985000,0.081433000,1448,399846,132,
18.079106000,0.000121000,1448,401294,132,
18.121665000,0.042559000,0,132,388262,0.667875000
18.204873000,0.083208000,1448,402742,132,
18.205013000,0.000140000,1448,404190,132,
18.247245000,0.042232000,0,132,391158,0.668795000
18.328919000,0.081674000,1448,405638,132,
18.329063000,0.000144000,1448,407086,132,
