bif_mean,bif_std,bif_max,bif_min,rtt_avg,label
17376.0,915.7956103847627,18824.0,15928.0,0.0,bbr
20892.571428571428,1139.2803074957537,21720.0,18824.0,0.0,bbr
20996.0,8229.43128047133,26064.0,4344.0,0.296609,bbr
5171.428571428572,773.988556578381,5792.0,4344.0,0.23246966666666666,bbr
5068.0,793.1022632674805,5792.0,4344.0,0.23096999999999998,bbr
5068.0,793.1022632674805,5792.0,4344.0,0.22936299999999998,bbr
4964.571428571428,773.988556578381,5792.0,4344.0,0.22760125,bbr
5212.8,793.1022632674805,5792.0,4344.0,0.2263605,bbr
6081.6,1211.4837184213413,7240.0,4344.0,0.2561555,bbr
5792.0,1295.130572567878,7240.0,4344.0,0.22176200000000001,bbr
7529.6,1211.4837184213413,8688.0,5792.0,0.21974,bbr
7964.0,1518.6752121503794,10136.0,5792.0,0.255892,bbr
9653.333333333334,1495.4879694155572,11584.0,7240.0,0.328702,bbr
13238.857142857143,1302.8168748998492,14480.0,11584.0,0.0,bbr
16652.0,1518.6752121503794,18824.0,14480.0,0.0,bbr
13997.333333333334,3849.247753349564,18824.0,10136.0,0.562578,bbr
14611.636363636364,4553.933316875145,18824.0,7240.0,0.317007,bbr
5309.333333333333,1182.2870491833473,7240.0,4344.0,0.28442,bbr
4826.666666666667,747.7439847077786,5792.0,4344.0,0.0,bbr
6619.428571428572,773.988556578381,7240.0,5792.0,0.6588666666666666,bbr
6516.0,793.1022632674805,7240.0,5792.0,0.27730000000000005,bbr
6412.571428571428,773.988556578381,7240.0,5792.0,0.2748815,bbr
6516.0,793.1022632674805,7240.0,5792.0,0.2723073333333334,bbr
6998.666666666667,1090.0148011227493,8688.0,5792.0,0.271637,bbr
9170.666666666666,1182.2870491833473,10136.0,7240.0,0.30778649999999996,bbr
10618.666666666666,1182.2870491833473,11584.0,8688.0,0.307548,bbr
11584.0,0.0,11584.0,11584.0,0.0,bbr
4923.2,1650.9740155435518,7240.0,2896.0,0.149086,bbr
5792.0,1295.130572567878,7240.0,4344.0,0.19604100000000002,bbr
5792.0,1448.0,7240.0,4344.0,0.2095915,bbr
6081.6,1211.4837184213413,7240.0,4344.0,0.220257,bbr
5502.4,1211.4837184213413,7240.0,4344.0,0.230396,bbr
7529.6,1211.4837184213413,8688.0,5792.0,0.240818,bbr
7964.0,1518.6752121503794,10136.0,5792.0,0.2513555,bbr
10377.333333333334,1090.0148011227493,11584.0,8688.0,0.32361799999999996,bbr
13859.42857142857,1842.4612937718987,15928.0,11584.0,0.0,bbr
16893.333333333332,747.7439847077786,17376.0,15928.0,0.0,bbr
16755.428571428572,2488.0251108823145,20272.0,14480.0,0.673898,bbr
10860.0,1518.6752121503794,13032.0,8688.0,0.563765,bbr
6950.4,1211.4837184213413,8688.0,5792.0,0.3062815,bbr
7240.0,1295.130572567878,8688.0,5792.0,0.290177,bbr
8977.6,1211.4837184213413,10136.0,7240.0,0.34065,bbr
11765.0,1208.3892466538136,13032.0,10136.0,0.0,bbr
13652.57142857143,4332.49269501761,17376.0,4344.0,0.279082,bbr
6950.4,1211.4837184213413,8688.0,5792.0,0.226945,bbr
8067.428571428572,1413.1033056294762,10136.0,5792.0,0.2494315,bbr
10425.6,1211.4837184213413,11584.0,8688.0,0.294771,bbr
13238.857142857143,1947.8284856536548,15928.0,10136.0,0.37373,bbr
16755.428571428572,773.9885565783811,17376.0,15928.0,0.0,bbr
16893.333333333332,2696.029277783657,20272.0,14480.0,0.684265,bbr
12825.142857142857,1947.8284856536548,15928.0,10136.0,0.617807,bbr
6950.4,1211.4837184213413,8688.0,5792.0,0.3095255,bbr
7964.0,1518.6752121503794,10136.0,5792.0,0.296867,bbr
8688.0,1448.0,10136.0,7240.0,0.308263,bbr
10136.0,1295.130572567878,11584.0,8688.0,0.0,bbr
13445.714285714286,1611.185662205085,15928.0,11584.0,0.0,bbr
11004.8,5280.7351003435115,17376.0,5792.0,0.334451,bbr
7964.0,1518.6752121503794,10136.0,5792.0,0.28188349999999995,bbr
10549.714285714286,1094.585113834722,11584.0,8688.0,0.329967,bbr
14686.857142857143,1302.8168748998492,15928.0,13032.0,0.0,bbr
17086.4,647.5652862839391,17376.0,15928.0,0.0,bbr
16755.428571428572,2488.0251108823145,20272.0,14480.0,0.67636,bbr
10136.0,2364.5740983666947,13032.0,5792.0,0.44677350000000005,bbr
7240.0,1295.130572567878,8688.0,5792.0,0.2830335,bbr
7819.2,1650.9740155435518,10136.0,5792.0,0.300655,bbr
8929.333333333334,1090.0148011227493,10136.0,7240.0,0.3416125,bbr
11790.857142857143,1302.8168748998492,13032.0,10136.0,0.0,bbr
15514.285714285714,5268.431193258126,20272.0,7240.0,0.412777,bbr
11377.142857142857,1759.2994276672962,13032.0,8688.0,0.0,bbr
15514.285714285714,1611.185662205085,17376.0,13032.0,0.0,bbr
14769.6,6261.658310703323,20272.0,7240.0,0.383735,bbr
8688.0,1448.0,10136.0,7240.0,0.3357215,bbr
4633.6,1211.4837184213413,5792.0,2896.0,0.376057,bbr
5212.8,2196.0007285973293,7240.0,1448.0,0.232989,bbr
4633.6,1211.4837184213413,5792.0,2896.0,0.168002,bbr
4054.4,1211.4837184213416,5792.0,2896.0,0.16681,bbr
4054.4,1211.4837184213416,5792.0,2896.0,0.1638155,bbr
4344.0,1448.0,5792.0,2896.0,0.1613745,bbr
4633.6,1211.4837184213413,5792.0,2896.0,0.160392,bbr
5068.0,1518.6752121503794,7240.0,2896.0,0.168761,bbr
6660.8,1650.9740155435518,8688.0,4344.0,0.198154,bbr
7240.0,1295.130572567878,8688.0,5792.0,0.2342035,bbr
8688.0,1295.130572567878,10136.0,7240.0,0.2834525,bbr
11342.666666666666,1090.0148011227493,13032.0,10136.0,0.369741,bbr
14480.0,915.7956103847627,15928.0,13032.0,0.0,bbr
17376.0,915.7956103847627,18824.0,15928.0,0.0,bbr
20892.571428571428,1139.2803074957537,21720.0,18824.0,0.0,bbr
20996.0,8229.43128047133,26064.0,4344.0,0.288135,bbr
5068.0,793.1022632674805,5792.0,4344.0,0.223565,bbr
5171.428571428572,773.988556578381,5792.0,4344.0,0.22177066666666667,bbr
5068.0,793.1022632674805,5792.0,4344.0,0.220365,bbr
4964.571428571428,773.988556578381,5792.0,4344.0,0.21882225,bbr
5212.8,793.1022632674805,5792.0,4344.0,0.21708100000000002,bbr
6998.666666666667,1090.0148011227493,8688.0,5792.0,0.2470365,bbr
7964.0,1518.6752121503794,10136.0,5792.0,0.24513449999999998,bbr
8977.6,1211.4837184213413,10136.0,7240.0,0.278323,bbr
11744.888888888889,1975.398468945218,14480.0,8688.0,0.304741,bbr
16755.428571428572,1842.4612937718987,18824.0,14480.0,0.0,bbr
16652.0,3002.636707961854,20272.0,13032.0,0.552078,bbr
13032.0,2047.7812383162416,15928.0,10136.0,0.556035,bbr
12411.42857142857,1413.1033056294762,14480.0,10136.0,0.563488,bbr
11790.857142857143,3490.1077074388136,15928.0,7240.0,0.369471,bbr
11584.0,1182.2870491833473,13032.0,10136.0,0.0,bbr
15928.0,1295.130572567878,17376.0,14480.0,0.0,bbr
10756.57142857143,3817.9948863743853,18824.0,7240.0,0.364394,bbr
12790.666666666666,1423.6621322022536,14480.0,11584.0,0.0,bbr
14480.0,4578.978051923813,18824.0,7240.0,0.359715,bbr
11946.0,1498.8223948915934,14480.0,10136.0,0.371862,bbr
15686.666666666666,1423.6621322022536,17376.0,14480.0,0.0,bbr
20065.14285714286,999.2149299277288,21720.0,18824.0,0.0,bbr
22547.428571428572,1139.2803074957537,24616.0,21720.0,0.0,bbr
10860.0,8992.93436934956,26064.0,4344.0,0.2428433333333333,bbr
6516.0,793.1022632674805,7240.0,5792.0,0.24422999999999997,bbr
6619.428571428572,773.988556578381,7240.0,5792.0,0.26429633333333336,bbr
7481.333333333333,1090.0148011227493,8688.0,5792.0,0.2815723333333333,bbr
8067.428571428572,773.988556578381,8688.0,7240.0,0.301849,bbr
11222.0,1498.8223948915934,13032.0,8688.0,0.0,bbr
15928.0,1295.130572567878,17376.0,14480.0,0.0,bbr
10756.57142857143,3817.9948863743853,18824.0,7240.0,0.359486,bbr
14066.285714285714,1377.322730794023,15928.0,13032.0,0.0,bbr
15928.0,4578.978051923813,20272.0,8688.0,0.373488,bbr
11377.142857142857,1302.8168748998492,13032.0,10136.0,0.0,bbr
8688.0,4692.056265647291,13032.0,2896.0,0.361459,bbr
3764.8,1650.9740155435518,5792.0,1448.0,0.17489300000000002,bbr
5550.666666666667,1090.0148011227493,7240.0,4344.0,0.2237655,bbr
6516.0,1518.6752121503794,8688.0,4344.0,0.1946075,bbr
8398.4,1211.4837184213413,10136.0,7240.0,0.23353,bbr
9515.42857142857,1413.103305629476,11584.0,7240.0,0.2852025,bbr
13238.857142857143,1302.8168748998492,14480.0,11584.0,0.0,bbr
17169.14285714286,999.2149299277288,18824.0,15928.0,0.0,bbr
15514.285714285714,3314.0210074915394,20272.0,10136.0,0.5912649999999999,bbr
11170.285714285714,1094.585113834722,13032.0,10136.0,0.657799,bbr
11294.4,3139.1891946806904,14480.0,7240.0,0.33258,bbr
9170.666666666666,1182.2870491833473,10136.0,7240.0,0.339005,bbr
12066.666666666666,1182.2870491833473,13032.0,10136.0,0.0,bbr
16471.0,2038.6188601950237,18824.0,13032.0,0.0,bbr
11004.8,5280.7351003435115,20272.0,7240.0,0.36426000000000003,bbr
11790.857142857143,1302.8168748998492,13032.0,10136.0,0.0,bbr
15204.0,1518.6752121503794,17376.0,13032.0,0.0,bbr
12618.285714285714,5894.52123343606,20272.0,7240.0,0.324615,bbr
9653.333333333334,1495.4879694155572,11584.0,7240.0,0.33353299999999997,bbr
13238.857142857143,1302.8168748998492,14480.0,11584.0,0.0,bbr
